position,word,freq,label,function,item,activation
10,monkey,653.625,gram_high,NN,21,-2.840738860760556
11,who,232455.375,gram_high,WP,21,3.0607401348152368
12,charged,5371.875,gram_high,VBD,21,-0.7153134303786763
13,the,6961417.875,gram_high,DT,21,6.461418845027831
14,bars,2742.75,gram_high,NNS,21,-1.3915683800252632
15,seemed,26789.625,gram_high,VBD,21,0.8970984354565016
16,rather,24008.625,gram_high,RB,21,0.7872441643326856
17,angry,4754.25,gram_high,JJ,21,-0.8380235264012231
18,.,24.75,gram_high,.,21,-6.2500316988811715
1,the,6961417.875,gram_high,DT,22,6.461418845027831
2,parents,18387.0,gram_high,NNS,22,0.5198153767552511
3,sat,13698.0,gram_high,VBD,22,0.22456708351073953
4,and,3018237.75,gram_high,CC,22,5.625565196146023
5,talked,4977.0,gram_high,VBD,22,-0.7919687742326658
6,about,221755.5,gram_high,IN,22,3.0135808560041815
7,the,6961417.875,gram_high,DT,22,6.461418845027831
8,children,52434.0,gram_high,NNS,22,1.56992336908797
9,who,232455.375,gram_high,WP,22,3.0607401348152368
10,attacked,3262.5,gram_high,VBD,22,-1.2168150309168468
11,each,57146.625,gram_high,DT,22,1.6561173168974255
12,other,159907.5,gram_high,JJ,22,2.6863250877098728
13,with,733556.25,gram_high,IN,22,4.210608759730691
14,super,1874.25,gram_high,NNP,22,-1.7751763271349923
15,soakers,2.25,gram_high,NNP,22,-9.04708014989069
16,.,24.75,gram_high,.,22,-6.2500316988811715
1,the,6961417.875,ungram_high,DT,1,6.461418845027831
2,professor,5847.75,ungram_high,NN,1,-0.6300017567337541
3,saw,30079.125,ungram_high,VBD,1,1.0131758548051946
4,the,6961417.875,ungram_high,DT,1,6.461418845027831
5,students,16427.25,ungram_high,NNS,1,0.40679311382882744
6,over,148810.5,ungram_high,IN,1,2.6143362659926406
7,walked,10625.625,ungram_high,JJ,1,-0.030288941493511076
8,across,28353.375,ungram_high,IN,1,0.9539596942519336
9,the,6961417.875,ungram_high,DT,1,6.461418845027831
10,quad,113.625,ungram_high,NN,1,-4.632843716354775
11,.,24.75,ungram_high,.,1,-6.2500316988811715
1,we,403641.0,ungram_high,PRP,2,3.6129337402428114
2,celebrated,1942.875,ungram_high,VBD,2,-1.7390763927011272
3,with,733556.25,ungram_high,IN,2,4.210608759730691
4,the,6961417.875,ungram_high,DT,2,6.461418845027831
5,team,21287.25,ungram_high,NN,2,0.6666542532390136
6,over,148810.5,ungram_high,IN,2,2.6143362659926406
7,defeated,2001.375,ungram_high,VBD,2,-1.7090329181359825
8,our,106881.75,ungram_high,PRP$,2,2.2830431664730333
9,rival,2916.0,ungram_high,NN,2,-1.3297571313732401
10,.,24.75,ungram_high,.,2,-6.2500316988811715
1,we,403641.0,ungram_high,PRP,3,3.6129337402428114
2,rented,958.5,ungram_high,VBD,3,-2.452695875713039
3,the,6961417.875,ungram_high,DT,3,6.461418845027831
4,bowling,914.625,ungram_high,NN,3,-2.500194050246814
5,shoes,4115.25,ungram_high,NNS,3,-0.9831600637618649
6,over,148810.5,ungram_high,IN,3,2.6143362659926406
7,rubbed,1050.75,ungram_high,JJ,3,-2.359843604616671
8,our,106881.75,ungram_high,PRP$,3,2.2830431664730333
9,ankles,571.5,ungram_high,NNS,3,-2.9769533320381623
10,.,24.75,ungram_high,.,3,-6.2500316988811715
1,while,63722.25,ungram_high,IN,4,1.765196213256624
2,they,487659.375,ungram_high,PRP,4,3.802128335474013
3,were,363186.0,ungram_high,VBD,4,3.507260646608495
4,at,537950.25,ungram_high,IN,4,3.900327488661853
5,the,6961417.875,ungram_high,DT,4,6.461418845027831
6,park,12936.375,ungram_high,NN,4,0.16716467509073396
7,",",3.375,ungram_high,",",4,-8.553019211179882
8,they,487659.375,ungram_high,PRP,4,3.802128335474013
9,saw,30079.125,ungram_high,VBD,4,1.0131758548051946
10,the,6961417.875,ungram_high,DT,4,6.461418845027831
11,children,52434.0,ungram_high,NNS,4,1.56992336908797
12,over,148810.5,ungram_high,IN,4,2.6143362659926406
13,bothered,1769.625,ungram_high,VBN,4,-1.833221003518215
14,them,195095.25,ungram_high,PRP,4,2.8853912573285805
15,yesterday,21945.375,ungram_high,NN,4,0.6971753135412013
16,.,24.75,ungram_high,.,4,-6.2500316988811715
1,at,537950.25,ungram_high,IN,5,3.900327488661853
2,the,6961417.875,ungram_high,DT,5,6.461418845027831
3,supermarket,1200.375,ungram_high,NN,5,-2.225055954138468
4,",",3.375,ungram_high,",",5,-8.553019211179882
5,we,403641.0,ungram_high,PRP,5,3.6129337402428114
6,ran,9834.75,ungram_high,VBD,5,-0.10792366873283171
7,into,183903.75,ungram_high,IN,5,2.8262649157595674
8,the,6961417.875,ungram_high,DT,5,6.461418845027831
9,people,139677.75,ungram_high,NNS,5,2.5509386501991385
10,over,148810.5,ungram_high,IN,5,2.6143362659926406
11,purchased,1904.625,ungram_high,JJ,5,-1.7590636370536
12,our,106881.75,ungram_high,PRP$,5,2.2830431664730333
13,house,57291.75,ungram_high,NN,5,1.6586564092491989
14,last,81204.75,ungram_high,JJ,5,2.0079637712192473
15,year,83000.25,ungram_high,NN,5,2.0298646388288097
16,.,24.75,ungram_high,.,5,-6.2500316988811715
1,while,63722.25,ungram_high,IN,6,1.765196213256624
2,in,2118706.875,ungram_high,IN,6,5.2716165665251795
3,the,6961417.875,ungram_high,DT,6,6.461418845027831
4,recycling,1179.0,ungram_high,NN,6,-2.2430542193266145
5,center,573.75,ungram_high,NN,6,-2.9731869838816056
6,",",3.375,ungram_high,",",6,-8.553019211179882
7,we,403641.0,ungram_high,PRP,6,3.6129337402428114
8,looked,39575.25,ungram_high,VBD,6,1.2880871193509502
9,at,537950.25,ungram_high,IN,6,3.900327488661853
10,the,6961417.875,ungram_high,DT,6,6.461418845027831
11,machines,5383.125,ungram_high,NNS,6,-0.7131404227062494
12,over,148810.5,ungram_high,IN,6,2.6143362659926406
13,poured,2017.125,ungram_high,VBN,6,-1.701066493483977
