activation	item	position	word	retrieve_wh	reanalysis	agreeing_actions	matching_fs	fan_size	condition
7.60464474292254	8	7	to	None	no	3	10	1353981	subj_ext
6.45463584268085	8	8	the	None	no	3	8.33333333333333	1537893.84	subj_ext
4.346815527943	8	9	company	None	yes	2	13	999209.615384615	subj_ext
4.83653762865489	8	10	has	None	no	3	7	1843987.71428571	subj_ext
2.09916066588863	9	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.52432094576868	9	2	actor	None	no	2.66666666666667	9.33333333333333	1405577.65833333	subj_ext
10.9359338699241	9	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
3.57421304731172	9	4	mentioned	None	no	1	34	340255.441176471	subj_ext
8.01863613144381	9	5	the	None	no	3	10	1314294.3	subj_ext
9.26598407882164	9	6	dancer	None	yes	3.45454545454545	13.1515151515152	1434793.67474949	subj_ext
7.60464474292254	9	7	to	None	no	3	10	1353981	subj_ext
6.16466179510895	9	8	the	None	no	3	8.33333333333333	1547357.28	subj_ext
3.84474793972012	9	9	director	None	yes	2	12	1081261.08333333	subj_ext
6.72935913371726	9	10	would	None	no	3	8.66666666666667	1493731.96153846	subj_ext
2.09916066588863	10	1	the	None	no	2	6.5	1440528.92307692	subj_ext
4.98782224979024	10	2	protester	None	no	2.33333333333333	12.6666666666667	1208081.45833333	subj_ext
10.1350378168213	10	3	who	None	no	2.75	14.0833333333333	813039.58949475	subj_ext
10.0148267967963	10	4	shoved	None	no	3	12	1154281.5	subj_ext
8.01863613144381	10	5	the	None	no	3	10	1314294.3	subj_ext
6.1181410820967	10	6	student	None	no	4	14.3333333333333	1924669.88636364	subj_ext
7.28475002481737	10	7	into	None	no	3	10	1445055.8	subj_ext
5.73117761145787	10	8	the	None	no	7	8	4013555	subj_ext
8.91152754533336	10	9	crowd	None	no	3.14285714285714	12.452380952381	1371379.80985811	subj_ext
7.65636356493963	10	10	was	None	no	3	9	1536957.55555556	subj_ext
2.09916066588863	11	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	11	2	intern	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	11	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.0148267967963	11	4	assigned	None	no	3	12	1154281.5	subj_ext
8.01863613144381	11	5	the	None	no	3	10	1314294.3	subj_ext
6.1181410820967	11	6	assistant	None	yes	4	14.3333333333333	1924669.88636364	subj_ext
7.60464474292254	11	7	to	None	no	3	10	1353981	subj_ext
6.16466179510895	11	8	the	None	no	3	8.33333333333333	1547357.28	subj_ext
6.67399613319516	11	9	project	None	yes	2.66666666666667	11.5	1268465.01075269	subj_ext
7.72880000031181	11	10	will	None	no	3	10	1367252.7	subj_ext
2.09916066588863	12	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	12	2	firefighter	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	12	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.2076809553621	12	4	directed	None	no	3	11.6666666666667	1181702.22857143	subj_ext
8.20669558880203	12	5	the	None	no	3	9.66666666666667	1352905.96551724	subj_ext
5.49887505594906	12	6	policewoman	None	no	3	15.5	1383298.59288538	subj_ext
7.91677989236742	12	7	to	None	no	3	10.6666666666667	1339297.3125	subj_ext
6.42438282997322	12	8	the	None	no	3	9	1544993.66666667	subj_ext
5.09645262394514	12	9	scene	None	yes	7	15.9166666666667	3331312.0530303	subj_ext
7.35638330312584	12	10	was	None	no	3	9	1536085	subj_ext
2.09916066588863	13	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	13	2	prisoner	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	13	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.0148267967963	13	4	shoved	None	no	3	12	1154281.5	subj_ext
8.01863613144381	13	5	the	None	no	3	10	1314294.3	subj_ext
9.2053415161097	13	6	guard	None	no	3.45454545454545	13.1818181818182	1433895.00946024	subj_ext
5.51592972231439	13	7	into	None	no	3	8	1723041	subj_ext
5.63036698214593	13	8	the	None	no	14	8	7649666.5	subj_ext
5.21218378538618	13	9	wall	None	yes	2.33333333333333	16	1233501.87910906	subj_ext
7.50805016208267	13	10	has	None	no	3	9	1529881	subj_ext
2.09916066588863	14	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	14	2	cheerleader	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	14	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
11.2690231040943	14	4	took	None	no	3	12	1154281.5	subj_ext
8.55752252563292	14	5	the	None	no	3	9.66666666666667	1354158.93103448	subj_ext
9.53428453793685	14	6	quarterback	None	yes	3	13.2575757575758	1228809.8371062	subj_ext
7.34233635059121	14	7	to	None	no	3	9.66666666666667	1511049.72413793	subj_ext
7.27834605315932	14	8	the	None	no	3	9.33333333333333	1468568.78571429	subj_ext
6.33419367582544	14	9	party	None	yes	2.33333333333333	13.6666666666667	1075003.82787879	subj_ext
3.15028473553974	14	10	has	None	no	2	9.5	1377384	subj_ext
2.09916066588863	15	1	the	None	no	2	6.5	1440528.92307692	subj_ext
6.1977302023301	15	2	customer	None	no	3	8.44444444444444	1609335.43238095	subj_ext
10.9359338699241	15	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
7.08951716563233	15	4	pushed	None	no	2	16.5	803807.757575758	subj_ext
8.4972392290792	15	5	the	None	no	3	10	1314294.3	subj_ext
2.34795362908766	15	6	clerk	None	yes	1	22	551995.545454545	subj_ext
4.30130273602395	15	7	into	None	no	2	10	1201709.1	subj_ext
4.92050813312863	15	8	the	None	no	18	7	11418778.2857143	subj_ext
8.82953635505261	15	9	clothes	None	no	3	11.6547619047619	1293094.83226526	subj_ext
4.39770081016587	15	10	rack	None	no	2	13	1040027.53846154	subj_ext
2.09916066588863	16	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	16	2	plumber	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	16	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.0148267967963	16	4	drove	None	no	3	12	1154281.5	subj_ext
8.01863613144381	16	5	the	None	no	3	10	1314294.3	subj_ext
9.23224787208458	16	6	carpenter	None	yes	3.09090909090909	13.0606060606061	1248742.0117068	subj_ext
7.5264662817408	16	7	to	None	no	3	9.66666666666667	1457762.17241379	subj_ext
2.14268761155129	16	8	the	None	no	1	22	496020.863636364	subj_ext
5.20584418231816	16	9	worksite	None	no	2.33333333333333	11.6666666666667	1211910.38171866	subj_ext
6.93307955041255	16	10	used	None	yes	2.66666666666667	11.3333333333333	1240631.69110106	subj_ext
